ERA,COVER,Title & Description,,,,,,,,,,,,,,,,CREATOR(S),Length & track no.,LINK(S) [W.I.P],Extras
,,"Will explain what makes a comp different from release, and what has been added or changed.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Type of comp: Remaster, Vanilla, overhaul, renovation, extension, remix, shitpost, and playlist.",,,,,,,,,,,,,,,,,,,,,
"Era refers to an album, or period of time that the comp is based on or taking place during. ","A comps cover will be displayed in this column. If there is no custom cover, a default cover will be used.","Dry descriptions that act as a guide. Quality can, and will vary without disclosure here. Playlists are denoted as such, typically put together by one individual using others edits with personal touches applied at the discretion of the playlist maker, credits are included when applicable here. Due to the nature of the yedits archive, listings may be updated as new information is uncovered or presented. If you see something you believe is incorrect, let me know and I will try to verify this information before updating it. This archive ideally will be shared physically, and digitally without fear of a DMCA takedown notice being filed someday. If you find this document in an incomplete or incorrect state, you may have an outdated copy, or the work on the archive and/or document here has been abandoned. I hope this spreadsheet is helpful in navigating the archive. Special credit to Sophie for allowing me to borrow color coding from her curated tracker, and some terminology. Thanks to Aiwei for touching up the sheet further. -  100greenmen",,,,,,,,,,,,,,,,Multiple individuals may be listed when applicable,"Length of the full comp, not counting bonus tracks","Links to comps will be dropped here, samply links provided by Koji.",Any supplementary material a comp might come with
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,The Go-Getters,,,,,,,,,,,,,,,,,,,
,,"Kanye West would begin work in the music industry producing beats, and recording with a Chicago based rap group featuring GLC, Timmy G, and Arrowstar while trying to find his sound. Although Kanye's signature sample chopping is present for many of these tracks that were released on mixtapes or leaked, he would later state he was disatisfied with his persona for his verses, and would course correct to a more authentic one going forward.  The era currently only has one comp but future comps would need to be based on the tracks produced with the Go-Getters to fit into this slot. ",,,,,,,,,,,,,,,,,,,
,,"Kanye West's third studio album graduation released in 2007. The movie soundtrack inspired hip-hop Kanye Had produced for Late registration is expanded upon in this record ultimately resulting in a love letter to pop culture, that went on to define pop culture for the rest of the decade. Lyrically it focuses on emotional introspection and expression of the ego. Different regions had remixes of some songs as bonus tracks, and The track Bittersweet Poetry was included in the Japanese release of the album as a bonus. The track Good Night was included on streaming services as a bonus. Comps from this era contain the release tracks, tracks he produced for during the late 2000's and a few choice tracks from Late Registration. ",,,,,,,,,,,,,,,,,,,
,,Extension,,,,,,,,,,,,,,,,,,,
Graduation,,Homecoming,,,,,,,,,,,,,,,,BSB Dante,"1 hour, 15 mins. 23 tracks.",SAMPLY,N/A
,,"An extension of graduation adding back scrapped or alt verses, new instrumental intros and outtros, and extended samples from their source. Also includes bittersweet poetry.  -  100greenmen															",,,,,,,,,,,,,,,,,,,
,,"Vanilla, Extension",,,,,,,,,,,,,,,,,,,
Graduation,,Graduation - The Step-Up Day															,,,,,,,,,,,,,,,,Kapsel Digital,"1 hour, 34 mins. 22 tracks.",SAMPLY,Credits list and info
,,"A collaborative project aiming to make the definitive Graduation listening experience. Features a variety of tweaks such as new mixing, extended intros and outtros, a few extended songs, new skits, and American boy has been added to the tracklist.  -  100greenmen",,,,,,,,,,,,,,,,,,,
,,Vanilla,,,,,,,,,,,,,,,,Ahmed2.0,"1 hour,   4 mins. 14 tracks.",,N/A
Graduation,,Graduation Reworked                                                                                                                        ,,,,,,,,,,,,,,,,,,SAMPLY,
,,"A comp as ahmed2.0 has described is similar to late registration in sound. Has some added production, and some scrapped/alt verses. Some tracks remain unaltered.  -  100greenmen",,,,,,,,,,,,,,,,,,,
,,Renovation,,,,,,,,,,,,,,,,,,,
Graduation,,Graduation Reimagined															,,,,,,,,,,,,,,,,Mochi&Broccoli,"1 hour, 1 mins. 14 tracks.",SAMPLY,N/A
,,"Most songs have had entirely new instrumentals that remain faithful to the oringial, other songs have new production, and a handful of extended intros have been added. New electronic and soul samples are also present.  Maintains the release tracklist.  -  100greenmen",,,,,,,,,,,,,,,,,,,
,,Remaster,,,,,,,,,,,,,,,,,,,
Graduation,,Graduation,,,,,,,,,,,,,,,,Fosterlynch,"1 hour, 5 mins. 15 tracks.",SAMPLY,N/A
,,"Fosterlynch's remaster of graduation, includes bitter sweet poetry. Higher quality preservation of subtleties that would otherwise be quieter on streaming services.  -  100greenmen",,,,,,,,,,,,,,,,,,,
,,Renovation,,,,,,,,,,,,,,,,,,,
Graduation,,Senior Year,,,,,,,,,,,,,,,,IcyEdits,"44 minutes, 11 tracks.",SAMPLY,"Multiple file formats, early scraps included."
,,"A shorter graduation comp that adds a lot of new production, some instrumentals are re-created and expanded on. Expanded samples and features are also added with new intros on a few songs, along with unique sample chops.  -  100greenmen",,,,,,,,,,,,,,,,,,,
,,"Extension, Playlist",,,,,,,,,,,,,,,,,,,
Graduation,,Graduation: Rising Stars,,,,,,,,,,,,,,,,Paranoid.eyesore,"1 hour, 33 minutes, 21 tracks.",SAMPLY,Multiple file formats.
,,"A playlist with some edits from the editor who put it together. Lots of added features and scrapped/alt verses. Includes American Boy, and Us Placers in the tracklist. - 100greenmen															",,,,,,,,,,,,,,,,,,,
,,Overhaul,,,,,,,,,,,,,,,,,,,
Graduation,,The Graduate															,,,,,,,,,,,,,,,,Berais,"30 minutes, 12 tracks.",SAMPLY,"Multiple file formats, alt cover."
,,"A short comp with new instrumentals in the style of The College Dropout, and an altered tracklist to include scrapped tracks, as well as a new intro and outtro, New soul samples and beats. Also includes a Diamonds and Dollars Edit. - 100greenmen															",,,,,,,,,,,,,,,,,,,
,,Extension,,,,,,,,,,,,,,,,,,,
Graduation,,Graduation Cap And Gown															,,,,,,,,,,,,,,,,Yak,"1 hour, 53 minutes, 18 tracks.",SAMPLY,1 bonus track.
,,"An extension that adds intros and outtros from different versions of the songs from the glow in the dark tour, and some leaks. Lots of new features are added from other artists. The Ne-yo song Because of you is also added with an extended instrumental to make room for a verse featuring Kanye West. - 100greenmen															",,,,,,,,,,,,,,,,,,,
,,Overhaul,,,,,,,,,,,,,,,,,,,
Graduation,,Master Class (2006),,,,,,,,,,,,,,,,biobthe1,"1 hour, 9 minutes, 17 tracks.",SAMPLY,"Multiple alt covers, multiple file formats."
,,"This comp takes scrapped songs from Late Registration, Graudation, and Common's album Be to make an entirely fabricated take on a Kanye album from this time period. Kanye's Track from the 'Voices of a grass roots movement' album produced to promote Barack Obama's 2008 Presidential run is also included. Added production on every track makes for a sound similar to Late Registration with some old-school hip-hop influence and mixing to match. - 100greenmen",,,,,,,,,,,,,,,,,,,
,,808s & Heartbreak,,,,,,,,,,,,,,,,,,,
,,"Up to Graduation Kanye had a plan to release 4 albums, the last of which was intended to be Good Ass Job. However after Graduation was released his mother had unexpectedly passed away and his then Fiance broke up with him. This series of events lead to such a drastic change in Kanye's life he felt compelled to interrupt work on Good Ass Job to express his grief and lonliness. Work would begin in short and the resulting album Inspired by Kid Cudi's first mixtape (who was also recruited to write for the album) was released in 2008 as his fourth studio album. Some minor experiments with the eponymous 808's Synthisizer from GAJ and his practice with singing were utilized to form the sound on this album alongside heavy useage of auto-tune, all elements that were criticized at the time upon it's release. The orchestral elements from previous eras were still present, although they did little to win over fans and critics who did not like the new sound. This album would go on to inspire many other artists, most noteably Drake, and begin Kanye's trend of re-inventing his sound with every new project. Comps from this era contain in part or whole the tracklist of the released album, with one exception.",,,,,,,,,,,,,,,,,,,
,,"Vanilla, Extension",,,,,,,,,,,,,,,,,,,
808s & Heartbreak,,808s & Heartbreak,,,,,,,,,,,,,,,,Orpheus,1 hour. 12 tracks.,SAMPLY,2 Bonus tracks
,,"A variety of minor changes such as adding and removing verses, using different versions and mixing them with the release tracks, and even using later Live from Hollywood Bowl versions. - 100greenmen",,,,,,,,,,,,,,,,,,,
,,Renovation,,,,,,,,,,,,,,,,,,,
808s & Heartbreak,,808s & Heartbreak,,,,,,,,,,,,,,,,Graybones,"1 hour, 1 minute. 11 tracks.",SAMPLY,"3 Bonus tracks, and an alt cover."
